,mintimepath
0,366264680-979923567-285325889-979923580-979923714-285335391-366266710-366266713-3830690876-366266720-7684766678-366266728-2461361006-366266730-534240032-1422144385-2724829804-1422144390-534240033-534240045-1422144388-540040529-540041083-540036869-534229690-190138057-912045522
1,366264680-979923567-285325889-979923580-979923714-285335391-285335389-979923712-979923680-285335388-979923715-1445172364-285335386-951001176-285335384-285335383-951001196-285335378-285331342-7684566441-6949586636-285331253-921406627-921406627-1422679707-921406622-1422144204-921406639-7859146612-1730744341-1422144347-540043508-912045443-912045522
2,366264680-979923567-285325889-979923580-979923714-285335391-366266710-366266713-3830690876-952992509-951001204-952992273-948829609-948829609-534240033-534240045-1422144388-540040529-540041083-540036869-534229690-190138057-912045522
