place,lat,lng
昭和記念公園,35.7124102,139.394148226819
高尾山口駅,35.63224825,139.2699457715528
登戸駅,35.62111265,139.56954570683286
羽村駅,35.7582678,139.3160652
国立府中IC,35.6749677,139.4381781
八王子IC,35.6771077,139.3434351
